0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	
2.84787535e-05	1.19466973e-03	4.56080007e-04	3.17754718e-04	-1.89168967e-03	2.71018870e-03	4.25961593e-04	2.04951738e-03	0.00000000e+00	1.00000000e-02	0.00000000e+00	0.00000000e+00	
4.71309472e-05	2.23515412e-03	1.16934939e-03	6.77208963e-04	-3.01350684e-03	5.88943805e-03	9.13077249e-04	3.24730364e-03	0.00000000e+00	8.80648647e-03	0.00000000e+00	0.00000000e+00	
1.29127187e-04	3.24345208e-03	1.99819647e-03	1.16534514e-03	-4.60015964e-03	1.24472355e-02	1.95491624e-03	5.10174615e-03	0.00000000e+00	7.75542040e-03	0.00000000e+00	0.00000000e+00	
2.20786622e-04	4.62184340e-03	3.05412543e-03	1.80772523e-03	-6.51504094e-03	2.00307482e-02	3.15701758e-03	7.30147102e-03	0.00000000e+00	6.82980049e-03	0.00000000e+00	0.00000000e+00	
3.00859894e-04	5.32934185e-03	4.01578576e-03	2.60779499e-03	-7.33228830e-03	2.77958613e-02	4.37616686e-03	8.35914389e-03	0.00000000e+00	6.01465456e-03	0.00000000e+00	0.00000000e+00	
3.74871587e-04	5.72872684e-03	4.79712693e-03	3.55434383e-03	-7.82476701e-03	3.51729513e-02	5.53264025e-03	9.01695728e-03	0.00000000e+00	5.29679740e-03	0.00000000e+00	0.00000000e+00	
4.36085773e-04	5.60564633e-03	5.26096586e-03	4.60264858e-03	-7.74585394e-03	4.08219161e-02	6.42207039e-03	8.95625313e-03	0.00000000e+00	4.66461747e-03	0.00000000e+00	0.00000000e+00	
4.89560690e-04	6.11804022e-03	5.75979989e-03	5.72429922e-03	-8.63406636e-03	4.53607853e-02	7.14037010e-03	9.76579699e-03	0.00000000e+00	4.10788906e-03	0.00000000e+00	0.00000000e+00	
5.43368058e-04	6.66713081e-03	6.29541237e-03	6.91278032e-03	-9.60990407e-03	4.96459360e-02	7.82134684e-03	1.06250119e-02	0.00000000e+00	3.61760695e-03	0.00000000e+00	0.00000000e+00	
5.99798565e-04	7.24421145e-03	6.86584270e-03	8.17556391e-03	-1.06345806e-02	5.42382832e-02	8.55009057e-03	1.15287821e-02	0.00000000e+00	3.18584067e-03	0.00000000e+00	0.00000000e+00	
6.59334694e-04	7.84702161e-03	7.46895756e-03	9.51944118e-03	-1.17075389e-02	5.91250486e-02	9.32511824e-03	1.24735433e-02	0.00000000e+00	2.80560627e-03	0.00000000e+00	0.00000000e+00	
7.22023579e-04	8.47339662e-03	8.10253926e-03	1.09504441e-02	-1.28285376e-02	6.42888044e-02	1.01438869e-02	1.34558781e-02	0.00000000e+00	2.47075337e-03	0.00000000e+00	0.00000000e+00	
7.87801401e-04	9.12115710e-03	8.76430702e-03	1.24738791e-02	-1.39971338e-02	6.97119781e-02	1.10037375e-02	1.44723743e-02	0.00000000e+00	2.17586561e-03	0.00000000e+00	0.00000000e+00	
8.56569546e-04	9.78810372e-03	9.45193001e-03	1.40943518e-02	-1.52126603e-02	7.53766157e-02	1.19019250e-02	1.55196021e-02	0.00000000e+00	1.91617311e-03	0.00000000e+00	0.00000000e+00	
9.28213018e-04	1.04720220e-02	1.01630380e-02	1.58157892e-02	-1.64742308e-02	8.12643711e-02	1.28356321e-02	1.65941167e-02	0.00000000e+00	1.68747526e-03	0.00000000e+00	0.00000000e+00	
1.00260541e-03	1.11706889e-02	1.08952309e-02	1.76414602e-02	-1.77807512e-02	8.73565574e-02	1.38019814e-02	1.76924660e-02	0.00000000e+00	1.48607280e-03	0.00000000e+00	0.00000000e+00	
1.07961069e-03	1.18818797e-02	1.16460879e-02	1.95739967e-02	-1.91309305e-02	9.36342106e-02	1.47980463e-02	1.88111992e-02	0.00000000e+00	1.30870800e-03	0.00000000e+00	0.00000000e+00	
1.15908430e-03	1.26033742e-02	1.24131757e-02	2.16154134e-02	-2.05232928e-02	1.00078154e-01	1.58208611e-02	1.99468763e-02	0.00000000e+00	1.15251193e-03	0.00000000e+00	0.00000000e+00	
1.24087395e-03	1.33329632e-02	1.31940566e-02	2.37671286e-02	-2.19561889e-02	1.06669061e-01	1.68674316e-02	2.10960757e-02	0.00000000e+00	1.01495807e-03	0.00000000e+00	0.00000000e+00	
1.32482042e-03	1.40684538e-02	1.39862959e-02	2.60299837e-02	-2.34278072e-02	1.13387512e-01	1.79347438e-02	2.22554025e-02	0.00000000e+00	8.93821456e-04	0.00000000e+00	0.00000000e+00	

